"","loc_name","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53"
"50","Asagiyavucuk","5.545251176",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Asva","3.467562479","4.803821333","3.409943685","4.309843005","5.552665783",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Atapuerca TD10","5.545251176","5.127235133","3.467562479","5.06460772","4.414395714","4.803821333","5.236224847","6.516806892","4.010723865","2.682011997","4.478814112","1.601664999","4.309843005","2.880098704","5.861922591","3.695836147","3.689628467","2.257278488","1.491361694","2.049992857","4.057164779","2.128123527","2.128123527","5.785647768","4.64738297","4.808717242","4.064820998","4.151472001","1.068586965","0.930162369","1.795880017","3.291879224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Atapuerca TD11","5.545251176","5.236224847","6.516806892","1.601664999","5.861922591","2.257278488","1.491361694","2.049992857","2.128123527","2.128123527","1.795880017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Atapuerca TD4","5.545251176","5.127235133","3.467562479","5.06460772","4.414395714","5.236224847","6.516806892","1.601664999","0.82524298","1.903546574","4.309843005","5.861922591","3.695836147","3.689628467","1.491361694","2.049992857","5.398057342","4.057164779","2.128123527","2.128123527","4.822769396","4.808717242","4.064820998","1.068586965","0.930162369","1.795880017","0.95044952","1.062581984","1.671599461","1.059005327","0.893610466",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Atapuerca TD4-5","5.545251176","5.127235133","3.467562479","5.06460772","4.414395714","4.803821333","5.236224847","6.516806892","6.863413404","5.861922591","3.689628467","5.398057342","4.057164779","4.808717242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Atapuerca TD5","5.545251176","5.127235133","5.06460772","4.803821333","5.236224847","5.215548844","5.861922591","5.398057342","4.822769396","4.808717242","1.068586965","0.930162369","0.95044952","1.062581984","1.059005327","0.893610466",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Atapuerca TD6","5.545251176","5.127235133","3.467562479","5.06460772","4.414395714","4.803821333","4.779821876","6.516806892","2.682011997","1.601664999","0.82524298","1.903546574","4.309843005","6.863413404","5.861922591","3.689628467","1.491361694","2.049992857","5.398057342","4.057164779","2.128123527","2.128123527","4.822769396","4.808717242","0.77815125","4.064820998","1.068586965","0.930162369","1.795880017","0.95044952","1.062581984","1.671599461","1.059005327","0.893610466","1.158362492",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Atapuerca TD7","5.118368615","0.930162369","5.532118519",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Atapuerca TD8","5.545251176","5.127235133","3.467562479","5.06460772","4.414395714","4.803821333","5.236224847","6.516806892","4.010723865","3.409943685","1.601664999","1.904895788","0.82524298","1.903546574","2.880098704","5.861922591","6.534950727","4.84509804","5.398057342","4.057164779","1.779596491","2.128123527","4.822769396","3.860984746","4.585874147","4.808717242","1.068586965","0.930162369","1.795880017","3.291879224","0.95044952","0.893610466","1.092411352",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
